id,name,partei,episode,sektor,episode2
ul,Ursula von der Leyen ,CDU,500,politik,NA
lk,Lars Klingbeil,SPD,500,politik,503
nr,Norbert Röttgen,CDU,500,politik,501
sw,Sahra Wagenknecht,Linke,500,politik,NA
cs,Constanze Stelzenmüller,NA,500,juristin,NA
cl,Christian Lidner,FDP,501,poltik,NA
ks,Karl Schlögel,NA,501,historiker,NA
lm,Ljudmyla Melnyk,NA,501,wissenschaftlerin,NA
kd,Kristina Dunz,NA,501,journalistin,NA
el,Egils Levits,NA,501,präsident,NA
ab,Annalena Baerbock,Grüne,502,politik,NA
ft,Frans Timmermans,NA,502,politik,NA
am,Andrij Melnyk,NA,502,botschafter,NA
al,Alexander Graf Lambsdorff,FDP,502,politik,NA
er,Egon Ramms,NA,502,general,NA
rh,Robert Habeck,Grüne,503,politik,NA
cm,Claudio Major,NA,503,wissenschaftlerin,NA
kp,Katja Petrowskaja,NA,503,journalistin,NA
rk,Roderich Kiesewetter,CDU,503,politik,NA